"ID","PubID","Journal","Outcome","Notes","strain","sex","age","control_mean","control_sd","control_n","test_mean","test_sd","test_n","total_days","total_time_h","water_depriv_h","food_depriv_h"
9643,"Pan 2019","MOLECULES","FST",NA,"SD","M",NA,125,21,"9",227,45,"9",21,63,NA,NA
9663,"Ampuero 2015","INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY","FST","""restraint""","SD","M",NA,108,56.38,"11",162,46.43,"11",10,20,NA,NA
9663,"Ampuero 2015","INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY","FST","""immobilisation""","SD","M",NA,108,56.38,"11",178,19.9,"11",10,20,NA,NA
9825,"Samarghandian 2017","Neurosci Lett","FST",NA,"Wistar",NA,NA,189,82.02,"8",343,70.71,"8",21,42,NA,NA
9900,"Wang 2016","Brain Res Bull","FST",NA,"Wistar","M",NA,83,20,"10",123,29,"10",21,126,NA,NA
3385,"Gavrilovic 2021","Neuroendocrinology Letters","FST",NA,"Wistar","M","11",53,15.81,"10",66,15.81,"10",14,28,NA,NA
1016,"Li 2022","CNS NEUROSCIENCE & THERAPEUTICS","FST",NA,"SD","M","6-8",26,22.63,"8",140,90.51,"8",28,168,NA,NA
1129,"Liang 2015","Neuroscience","SPT",NA,"SD","M",NA,92,3.96,"8",76,13.01,"8",21,126,6,6
1287,"Alkanat 2024","EUROPEAN JOURNAL OF NEUROSCIENCE","SPT",NA,"SD","M","not given",93,14.14,"8",59,45.25,"8",21,105,NA,NA
1422,"Feng 2022","Andrologia","SPT",NA,"SD","M",NA,72,1.5,"10",46,2.5,"10",NA,NA,24,24
1764,"Zhong 2019","Front Psychiatry","SPT",NA,"SD","M","8",76,12.33,"10",57,14.23,"10",21,84,NA,NA
1796,"Luo 2015","Neuropharmacology","SPT",NA,"SD","M","8",87,3.8,"7",66,6,"7",10,40,NA,NA
2075,"Zhu 2022","Front Pharmacol","SPT",NA,"SD","M","8",75,6.93,"12",51,10.39,"12",21,63,24,24
2165,"Zhu 2020","CHINESE JOURNAL OF NATURAL MEDICINES","SPT",NA,"SD","M","9",82,8,"10",60,10,"10",21,126,24,24
2186,"Qian 2020","Evid Based Complement Alternat Med","SPT",NA,"Wistar","M","9",52,21,"10",30,17,"10",28,84,24,24
2300,"Aboul-Fotouh 2018","Behav Pharmacol","SPT",NA,"Wistar","M",NA,90,7.35,"8",78,17.54,"8",7,42,0,0
2300,"Aboul-Fotouh 2018","Behav Pharmacol","SPT",NA,"Wistar","M",NA,90,7.35,"8",61,17.54,"8",14,84,0,0
2300,"Aboul-Fotouh 2018","Behav Pharmacol","SPT",NA,"Wistar","M",NA,90,7.35,"8",63,18.38,"8",21,126,0,0
2300,"Aboul-Fotouh 2018","Behav Pharmacol","SPT",NA,"Wistar","M",NA,90,7.35,"8",61,12.16,"8",28,168,0,0
2504,"Zhang 2022","Food Chem Toxicol","SPT",NA,"Wistar","M",NA,80,8,"12",55,8,"12",21,126,12,12
2714,"Li 2023","J Affect Disord","SPT",NA,"SD",NA,NA,79,12.65,"10",67,8.54,"10",28,168,23,23
2744,"Arab 2023","Pharmaceuticals (Basel)","SPT",NA,"Wistar","M",NA,81,6,"10",45,9,"10",21,126,16,NA
2795,"Zhang 2022","NEUROSCIENCE","SPT",NA,"Wistar-Kyoto","M",NA,94,14.14,"8",74,28.46,"10",28,168,NA,NA
3077,"Abuelezz 2018","Behav Pharmacol","SPT",NA,"Wistar","M",NA,77,13.16,"12",54,7.97,"12",28,168,24,24
3482,"Wang 2024","BRAIN RESEARCH","SPT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,28,12,NA
3670,"Zhou 2021","JOURNAL OF ETHNOPHARMACOLOGY","SPT",NA,"Wistar","M","8",71,14.14,"8",74,22.63,"8",28,168,23,23
3676,"Gao 2024","Brain Res Bull","SPT",NA,"SD","M","4",73,9.8,"10",51,12.02,"10",14,28,12,12
3926,"Yan 2023","NEUROPHARMACOLOGY","SPT",NA,"SD","M","6-8",78,12.25,"6",66,22.05,"6",21,84,24,NA
3926,"Yan 2023","NEUROPHARMACOLOGY","SPT",NA,"SD","F","6-8",NA,NA,NA,NA,NA,NA,21,84,NA,NA
4002,"Han 2017","Sci Rep","SPT","CRS method taken from cited article","SD","M",NA,85,10.73,"20",62,26.83,"20",14,28,12,12
4025,"Moreno 2020","Cells","SPT",NA,"SD","M","6",90,0.9,"9",70,5.7,"9",21,42,NA,NA
4070,"Liu 2018","Transl Psychiatry","SPT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
4745,"Cheng 2017","BMC Complement Altern Med","SPT",NA,"SD","M",NA,78,9,"10",49,17,"10",63,378,24,24
4794,"Liu 2022","J Affect Disord","SPT",NA,"SD","M",NA,80,9.49,"10",61,25.3,"10",21,126,6,6
4887,"Pansarim 2023","Behav Processes","SPT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,11,66,6,6
4887,"Pansarim 2023","Behav Processes","SPT",NA,"Wistar","F",NA,NA,NA,NA,NA,NA,NA,11,66,6,6
4887,"Pansarim 2023","Behav Processes","SPT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,22,132,6,6
4887,"Pansarim 2023","Behav Processes","SPT",NA,"Wistar","F",NA,NA,NA,NA,NA,NA,NA,22,132,6,6
4911,"Zou 2024","Mol Nutr Food Res","SPT","Data from after 4 weeks of CRS","SD","M","6",81,3.4,NA,55,5,NA,28,224,NA,NA
4911,"Zou 2024","Mol Nutr Food Res","SPT","Data from after 8 weeks of CRS","SD","M","6",81,3.4,NA,59,4.6,NA,28,224,NA,NA
4973,"Hennessy 2022","Neuroimage: Reports","SPT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,13,32,NA,NA
5014,"Elfakharany 2024","Mol Neurobiol","SPT",NA,"Wistar","M","8-10",71,19,NA,32,22,NA,21,126,16,NA
5437,"Sarawi 2025","Sci Rep","SPT","""All rat groups, except the controls, underwent restraining stress for around 5 weeks""","SD","M","6-7",80,4.5,"3",41,32.91,"3",35,87,NA,NA
5446,"Peng 2022","JOURNAL OF NEUROINFLAMMATION","SPT",NA,"Wistar","M","6-8",98,2,"15",71,10,"15",28,168,NA,NA
5610,"Mostardeiro 2025","Brain Sciences","SPT",NA,"Wistar","M",NA,99.6,3.4,"4",93.7,3,"4",14,112,NA,NA
5623,"Zhi 2023","Behav Brain Res","SPT",NA,"SD","M","6",90,NA,"6",89,1.71,"6",21,126,24,24
5627,"Feng 2019","FRONTIERS IN MOLECULAR NEUROSCIENCE","SPT",NA,"Wistar","M","8",86,13.86,"12",44,34.64,"12",21,126,NA,NA
5638,"Wang 2024","Heliyon","SPT",NA,"SD","M",NA,64,5.2,"11",68,8,"11",7,42,24,24
5638,"Wang 2024","Heliyon","SPT",NA,"SD","M",NA,64,5.2,"11",70,6.2,"11",14,84,24,24
5638,"Wang 2024","Heliyon","SPT",NA,"SD","M",NA,64,5.2,"11",58,8,"11",21,126,24,24
5687,"Zhou 2022","FRONTIERS IN AGING NEUROSCIENCE","SPT","All rats were ovariectomised; CRS was ""7.5–8h/day""","SD","F","12",NA,NA,NA,NA,NA,NA,21,157,24,24
5699,"Wei 2018","Neurosci Lett","SPT",NA,"Wistar","M",NA,83,4,"10",79,4,"10",7,42,23,23
5699,"Wei 2018","Neurosci Lett","SPT",NA,"Wistar","M",NA,83,4,"10",62,2.5,"10",14,84,23,23
5699,"Wei 2018","Neurosci Lett","SPT",NA,"Wistar","M",NA,83,4,"10",78,5,"10",21,126,23,23
5699,"Wei 2018","Neurosci Lett","SPT",NA,"Wistar","M",NA,83,4,"10",80,4,"10",28,168,23,23
5699,"Wei 2018","Neurosci Lett","SPT",NA,"Wistar","M",NA,83,4,"10",81,4,"10",35,210,23,23
5748,"Sakhri 2021","PHYTOTHERAPY RESEARCH","SPT",NA,"Wistar","M",NA,87,6.71,"5",56,13.42,"5",21,126,NA,NA
5881,"Jiang 2024","Mol Neurobiol","SPT",NA,"SD","M",NA,72,9.95,"11",43,19.9,"11",7,42,23,23
