"ID","PubID","Journal","Outcome","Notes","strain","sex","age","control_mean","control_sd","control_n","test_mean","test_sd","test_n","total_days","total_time_h","water_depriv_h","food_depriv_h"
5304,"Rojas-Carvajal 2017","REVISTA MEXICANA DE NEUROCIENCIA","OFT","restraint stress applied ""every other day""","SD","M",NA,NA,NA,NA,NA,NA,NA,16,16,NA,NA
5365,"Magdy 2017","Biomed Pharmacother","OFT",NA,"Wistar","M",NA,9,7.97,"12",24,11.09,"12",42,168,NA,NA
5366,"Xi 2020","Aging (Albany NY)","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,63,NA,NA
5610,"Mostardeiro 2025","Brain Sciences","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,14,112,NA,NA
5623,"Zhi 2023","Behav Brain Res","OFT",NA,"SD","M","6",NA,NA,NA,NA,NA,NA,21,126,NA,NA
5627,"Feng 2019","FRONTIERS IN MOLECULAR NEUROSCIENCE","OFT",NA,"Wistar","M","8",NA,NA,NA,NA,NA,NA,21,126,NA,NA
5638,"Wang 2024","Heliyon","OFT","Multiple SPTs and OFTs done","SD","M",NA,5,3.4,"11",2.9,1.5,"11",7,42,NA,NA
5638,"Wang 2024","Heliyon","OFT","Multiple SPTs and OFTs done","SD","M",NA,5,3.4,"11",1.4,0.6,"11",14,84,NA,NA
5638,"Wang 2024","Heliyon","OFT","Multiple SPTs and OFTs done","SD","M",NA,5,3.4,"11",0.2,0.1,"11",21,126,NA,NA
5687,"Zhou 2022","FRONTIERS IN AGING NEUROSCIENCE","OFT","All rats were ovariectomised; CRS was ""7.5–8h/day""","SD","F","12",NA,NA,NA,NA,NA,NA,21,157,NA,NA
5697,"Kamsrijai 2025","JOURNAL OF ETHNOPHARMACOLOGY","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
5729,"Yi 2024","Behav Brain Res","OFT",NA,"SD","M",NA,22,3.67,"6",7.6,2.45,"6",28,168,NA,NA
5748,"Sakhri 2021","PHYTOTHERAPY RESEARCH","OFT",NA,"Wistar","M",NA,19,3.13,"5",4.5,4.02,"5",21,126,NA,NA
5759,"Moreno-Martinez 2022","BEHAVIOURAL BRAIN RESEARCH","OFT",NA,"Wistar","M",NA,52,20.78,"12",30,13.86,"12",14,4,NA,NA
5966,"Zhang 2022","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","OFT",NA,"Wistar","M","6-7",29,2.5,"9",8.4,1.2,"9",21,126,NA,NA
5993,"Ruanpang 2025","Vet World","OFT",NA,"Wistar","M","7",NA,NA,NA,NA,NA,NA,7,21,NA,NA
5993,"Ruanpang 2025","Vet World","OFT",NA,"Wistar","M","7",NA,NA,NA,NA,NA,NA,14,42,NA,NA
5993,"Ruanpang 2025","Vet World","OFT",NA,"Wistar","M","7",NA,NA,NA,NA,NA,NA,28,84,NA,NA
6148,"Novaes 2018","PSYCHONEUROENDOCRINOLOGY","OFT",NA,"Wistar","M","8.5",NA,NA,NA,NA,NA,NA,10,20,NA,NA
6180,"Tan 2021","Figshare","OFT",NA,"SD","M","not given",16,3.13,"20",12,4.02,"20",14,84,NA,NA
6184,"Li 2022","Mol Neurobiol","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,28,112,NA,NA
6184,"Olave 2022","Neurobiol Stress","OFT",NA,"Wistar","M",NA,2.9,5.4,"9",1.6,2.7,"9",14,35,NA,NA
6184,"Olave 2022","Neurobiol Stress","OFT",NA,"Wistar","F",NA,5.8,5.31,"11",4.3,4.11,"10",NA,NA,NA,NA
6233,"Gao 2024","Translational Psychiatry","OFT",NA,"Wistar","M","6",NA,NA,NA,NA,NA,NA,21,126,NA,NA
6233,"Gao 2024","Translational Psychiatry","OFT",NA,"Wistar","F","6",NA,NA,NA,NA,NA,NA,21,126,NA,NA
6320,"Li 2025","Brain Res Bull","OFT",NA,"SD","M","5",NA,NA,NA,NA,NA,NA,28,168,NA,NA
6392,"Hong 2022","J Int Med Res","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6616,"Rodriguez-Palma 2023","EUROPEAN JOURNAL OF PHARMACOLOGY","OFT",NA,"Wistar","M","8-10",NA,NA,NA,NA,NA,NA,28,56,NA,NA
6616,"Rodriguez-Palma 2023","EUROPEAN JOURNAL OF PHARMACOLOGY","OFT",NA,"Wistar","F","8-10",NA,NA,NA,NA,NA,NA,28,56,NA,NA
6728,"Zhao 2022","Front Neurol","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,63,NA,NA
6826,"Tan 2021","Front Neurosci","OFT",NA,"SD","M",NA,15.2,4.47,"20",11.3,4.02,"20",14,84,NA,NA
6850,"Farhan 2015","ADVANCEMENTS IN LIFE SCIENCES","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6850,"Farhan 2015","ADVANCEMENTS IN LIFE SCIENCES","OFT",NA,"Wistar","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6987,"Peng 2021","Neurochem Int","OFT",NA,"SD","M","12",2.6,2.46,"5",0.05,0.12,"6",21,136,NA,NA
7021,"Wu 2025","JOURNAL OF MOLECULAR HISTOLOGY","OFT",NA,"Wistar","F","6-8",NA,NA,NA,NA,NA,NA,14,70,NA,NA
7023,"Liu 2016","Behav Brain Res","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
7075,"de 2019","Neurotoxicity Research","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
7255,"Fernández 2016","Alcohol","OFT",NA,"Wistar","M","7 (at testing)",NA,NA,NA,NA,NA,NA,4,8,NA,NA
7255,"Fernández 2016","Alcohol","OFT",NA,"Wistar","M","11 (at testing)",NA,NA,NA,NA,NA,NA,4,8,NA,NA
7270,"Zhang 2022","J Hazard Mater","OFT","Method taken from cited article","Wistar","M","6",NA,NA,NA,NA,NA,NA,21,126,NA,NA
7286,"Adachi 2021","J Tradit Complement Med","OFT",NA,"Wistar","M","7",19,3,"5",2,1,"5",21,126,NA,NA
7339,"Vorvul 2022","NEUROPEPTIDES","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,14,28,NA,NA
7440,"Li 2023","Behav Brain Res","OFT",NA,"SD","M","7-8",NA,NA,NA,NA,NA,NA,35,140,NA,NA
7545,"Jiang 2021","Behav Brain Res","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,28,168,NA,NA
7592,"Zhu 2021","Evid Based Complement Alternat Med","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,63,NA,NA
7660,"Yu 2024","BEHAVIOURAL BRAIN RESEARCH","OFT","""Male Sprague-Dawley rats (8–12 weeks old, 250–300 g) and male Long-Evans rats (350–400 g) .... All rats were randomly assigned to one of the following four models""","Unclear","Unclear","Unclear",NA,NA,NA,NA,NA,NA,21,126,NA,NA
7769,"Wang 2022","Journal of agricultural and food chemistry","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
7812,"Wang 2022","Neuropsychiatr Dis Treat","OFT","SPT pre-screen done","SD","M","4",NA,NA,NA,NA,NA,NA,28,112,NA,NA
7858,"Wang 2017","Evidence-based Complementary and Alternative Medicine","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,28,168,NA,NA
7864,"Zhao 2023","ANDROLOGIA","OFT",NA,"SD","M","4-5",NA,NA,NA,NA,NA,NA,28,168,NA,NA
8158,"Wisłowska-Stanek 2016","Behav Brain Res","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,35,105,NA,NA
8159,"Habib 2015","PLoS One","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,42,168,NA,NA
8420,"Zhao 2015","NEUROSCIENCE LETTERS","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,3,18,NA,NA
8420,"Zhao 2015","NEUROSCIENCE LETTERS","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,84,NA,NA
8451,"Chen 2025","PHARMACOLOGICAL RESEARCH","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,112,NA,NA
8709,"Ercetin 2023","INDIAN JOURNAL OF EXPERIMENTAL BIOLOGY","OFT",NA,"SD","F","8-12",NA,NA,NA,NA,NA,NA,56,56,NA,NA
8767,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,42,168,NA,NA
8964,"Phachonpai 2024","Journal of Applied Pharmaceutical Science","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,56,336,NA,NA
8977,"Lei 2020","FRONTIERS IN NEUROSCIENCE","OFT","Pregnant females restrained from GD12-18","SD","F (pregnant)","not given",NA,NA,NA,NA,NA,NA,7,15,NA,NA
8989,"Arab 2023","Pharmaceuticals","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
9101,"Zhao 2015","Physiol Behav","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA
9101,"Zhao 2015","Physiol Behav","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,7,14,NA,NA
9101,"Zhao 2015","Physiol Behav","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,28,NA,NA
9120,"Bortolasci 2023","Bipolar Disorders","OFT",NA,"Flinders Sensitive Line","M","6",NA,NA,NA,NA,NA,NA,10,5,NA,NA
9211,"Sun 2022","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","OFT",NA,"Wistar","M","6-7",NA,NA,NA,NA,NA,NA,21,126,NA,NA
9223,"Hadipour 2023","Synapse","OFT",NA,"Wistar","M","12",13,5.66,"8",4.3,5.09,"8",14,28,NA,NA
9234,"Lyu 2022","Psychopharmacology (Berl)","OFT",NA,"Wistar-Kyoto","M","8",NA,NA,NA,NA,NA,NA,28,168,NA,NA
9352,"Li 2015","Evidence-based Complementary and Alternative Medicine","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,63,NA,NA
9442,"Meng 2021","Pain Physician","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
9542,"Saeidi 2025","NEUROCHEMICAL RESEARCH","OFT",NA,"Wistar","M","8-10",29,9,"7",9,2.91,"7",15,90,NA,NA
9542,"Saeidi 2025","NEUROCHEMICAL RESEARCH","OFT",NA,"Wistar","M","8-10",37,12.17,"7",6,2.91,"7",30,180,NA,NA
9643,"Pan 2019","MOLECULES","OFT",NA,"SD","M",NA,21,4.2,"9",41,13.8,"9",21,63,NA,NA
9767,"Zhu 2019","BIOMEDICINE & PHARMACOTHERAPY","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,63,NA,NA
9825,"Samarghandian 2017","Neurosci Lett","OFT",NA,"Wistar",NA,NA,NA,NA,NA,NA,NA,NA,21,42,NA,NA
9892,"Geng 2021","Oxid Med Cell Longev","OFT",NA,"Wistar","M","6-8",NA,0,NA,NA,0,NA,21,126,NA,NA
9900,"Wang 2016","Brain Res Bull","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
1016,"Li 2022","CNS NEUROSCIENCE & THERAPEUTICS","OFT",NA,"SD","M","6-8",NA,NA,NA,NA,NA,NA,28,168,NA,NA
4733,"Tian 2018","Frontiers in Psychiatry","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,28,168,NA,NA
