"PMID","PubID","Journal","Outcome","strain","sex","age","control_mean","control_sd","control_n","test_mean","test_sd","test_n","total_days","total_time","water_depriv_h","food_depriv_h"
29175030,"Wei 2018","Neurosci Lett","SPT","Wistar","M",NA,83,4,"10",81,4,"10",35,12600,23,23
28763303,"Abuelezz 2018","Behav Pharmacol","SPT","Wistar","M",NA,77,13.1635861375235,"12",54,7.96743371481684,"12",28,10080,24,24
28420875,"Han 2017","Sci Rep","SPT","SD","M",NA,85,10.733126291999,"20",62,26.8328157299975,"20",14,1680,12,12
28388904,"Cheng 2017","BMC Complement Altern Med","SPT","SD","M",NA,78,9,"10",49,17,"10",63,22680,24,24
27346276,"Wang 2016","Brain Res Bull","SPT","Wistar","M",NA,81,8,"10",65,8,"10",21,7560,23,23
26947756,"Liu 2016","Behav Brain Res","SPT","SD","M",NA,69,7.07106781186548,"8",58,19.7989898732233,"8",7,2520,6,6
26947756,"Liu 2016","Behav Brain Res","SPT","SD","M",NA,69,7.07106781186548,"8",52,25.4558441227157,"8",14,5040,6,6
26947756,"Liu 2016","Behav Brain Res","SPT","SD","M",NA,69,7.07106781186548,"8",47,16.9705627484771,"8",21,7560,6,6
26010004,"Castañeda 2015","J Neurosci Res","SPT","SD","M",NA,90,14.142135623731,"8",48,18.3847763108502,"8",7,1050,1,1
26010004,"Castañeda 2015","J Neurosci Res","SPT","SD","M",NA,90,14.142135623731,"8",59,11.3137084989848,"8",14,2100,1,1
25446675,"Luo 2015","Neuropharmacology","SPT","SD","M","8",87,3.8,"7",66,6,"7",10,2400,NA,NA
25315361,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT","Wistar","M",NA,84,5.65685424949238,"8",74,8.48528137423857,"8",7,1680,0,0
25315361,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT","Wistar","M",NA,84,5.65685424949238,"8",67,5.65685424949238,"8",14,3360,0,0
25315361,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT","Wistar","M",NA,84,5.65685424949238,"8",61,8.48528137423857,"8",21,5040,0,0
25315361,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT","Wistar","M",NA,84,5.65685424949238,"8",59,5.65685424949238,"8",28,6720,0,0
25315361,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT","Wistar","M",NA,84,5.65685424949238,"8",58,11.3137084989848,"8",35,8400,0,0
25315361,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT","Wistar","M",NA,84,5.65685424949238,"8",51,11.3137084989848,"8",42,10080,0,0
39214423,"Yi 2024","Behav Brain Res","EPM","SD","M",NA,37,5.87877538267963,"6",11,1.95959179422654,"6",28,10080,NA,NA
39178027,"Cairns 2024","Am J Physiol Heart Circ Physiol","EPM","Wistar","M","10",2.4,3.8,"9",28.1,24,"8",28,1680,NA,NA
39178027,"Cairns 2024","Am J Physiol Heart Circ Physiol","EPM","Wistar","F","10",37.6,25.2,"9",39,29.6,"9",28,1680,NA,NA
38882046,"Tang 2024","Drug Des Devel Ther","EPM","SD","M",NA,27,5.5,"6",20,2.7,"6",28,5040,NA,NA
37201894,"Li 2023","Behav Brain Res","EPM","SD","M","7-8",40,31,"11",15,21,"10",35,8400,NA,NA
37152003,"Hadipour 2023","3 Biotech","EPM","Wistar","M",NA,43,8.48528137423857,"8",20,14.142135623731,"8",14,1680,NA,NA
36921909,"Pansarim 2023","Behav Processes","EPM","Wistar","M",NA,24,18.9736659610103,"10",14,9.48683298050514,"10",11,3960,NA,NA
36921909,"Pansarim 2023","Behav Processes","EPM","Wistar","F",NA,31,12.6491106406735,"10",31,22.1359436211787,"10",11,3960,NA,NA
36921909,"Pansarim 2023","Behav Processes","EPM","Wistar","M",NA,29,22.1359436211787,"10",36,6.32455532033676,"10",22,7920,NA,NA
36921909,"Pansarim 2023","Behav Processes","EPM","Wistar","F",NA,35,9.48683298050514,"10",24,12.6491106406735,"10",22,7920,NA,NA
35873784,"Zhao 2022","Front Neurol","EPM","SD","M",NA,26,17,"8",6,7,"8",21,3780,NA,NA
35814204,"Zhu 2022","Front Pharmacol","EPM","SD","M","8",38,13.856406460551,"12",24,13.856406460551,"12",21,3780,NA,NA
35780963,"Liu 2022","J Affect Disord","EPM","SD","M",NA,21,22.1359436211787,"10",21,34.6410161513775,"12",21,7560,NA,NA
34780859,"Pentkowski 2022","Behav Brain Res","EPM","TgF344-AD (wild type)","M","24",126,74.8331477354788,"14",61,34.8568501158668,"15",14,840,NA,NA
34646421,"Geng 2021","Oxid Med Cell Longev","EPM","Wistar","M","6-8",40,9.48683298050514,"10",24,7.93725393319377,"7",21,7560,NA,NA
34167364,"Bagheri 2021","Hum Exp Toxicol","EPM","Wistar","M",NA,32,3.96862696659689,"7",11,3.43947670438397,"7",21,2520,NA,NA
33276022,"Peng 2021","Neurochem Int","EPM","SD","M","12",69,51.4295634824952,"5",7,4.89897948556636,"6",21,8190,NA,NA
32813905,"Rodrigues 2022","Eur J Neurosci","EPM","Wistar Han","M","8",132,34.7850542618522,"10",100,34.7850542618522,"10",15,3600,NA,NA
30740068,"Zhong 2019","Front Psychiatry","EPM","SD","M","8",56,24,"9",20,15,"9",21,5040,NA,NA
